OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
62,GO29,man83,28,91.85,14.26,2021-10-16,2021-12-31
63,PM24,man13,39,60.0,29.57,2021-10-28,2021-12-17
64,HC02,man07,88,23.14,19.63,2021-11-23,2021-12-24
65,FY39,man65,91,26.72,23.73,2021-10-23,2021-12-19
66,TH53,man86,9,87.5,16.31,2021-12-01,2021-12-30
67,JP16,man36,39,65.63,15.39,2021-10-29,2022-01-02
68,GL48,man58,21,82.84,11.2,2021-12-07,2021-12-19
69,ND29,man71,59,47.12,28.05,2021-12-14,2021-12-26
70,XU80,man00,51,62.29,26.9,2021-11-15,2021-12-26
71,EY56,man96,96,68.44,29.31,2021-10-19,2022-01-07
72,TD23,man35,37,23.74,15.47,2021-11-15,2022-01-01
73,EF32,man92,48,43.77,21.04,2021-11-15,2022-01-02
74,GK80,man60,62,54.65,18.77,2021-10-27,2022-01-12
75,LV20,man92,65,64.56,13.27,2021-12-04,2022-01-10
76,QW15,man33,92,97.75,17.9,2021-11-26,2021-12-19
77,YB72,man27,17,54.12,12.18,2021-12-08,2021-12-24
78,BP71,man54,76,88.49,18.67,2021-11-07,2021-12-18
79,QO92,man00,84,65.7,18.59,2021-11-07,2021-12-27
80,RR83,man07,46,30.23,11.69,2021-11-24,2022-01-05
81,YD72,man51,27,39.79,17.98,2021-10-21,2022-01-10
82,LU01,man73,36,96.84,16.35,2021-11-21,2021-12-20
83,JX86,man17,26,98.91,22.86,2021-10-19,2021-12-14
84,GL83,man34,55,55.3,20.28,2021-11-11,2022-01-08
85,QF70,man91,68,42.39,10.83,2021-12-05,2021-12-18
86,ZL58,man76,97,42.79,21.36,2021-10-22,2022-01-09
87,NB87,man65,71,96.69,20.08,2021-11-01,2021-12-28
88,KC40,man71,31,92.19,18.16,2021-10-20,2022-01-12
89,JT29,man57,33,35.13,11.28,2021-12-05,2021-12-22
90,AI28,man33,13,82.98,17.48,2021-12-08,2021-12-14
91,TX46,man75,52,98.53,19.9,2021-12-02,2022-01-06
92,JH21,man05,66,32.92,11.06,2021-10-21,2022-01-08
93,AH24,man85,2,38.28,10.98,2021-11-20,2022-01-13
94,WP58,man19,94,39.68,16.71,2021-10-25,2021-12-24
95,UC03,man84,98,62.48,25.73,2021-10-16,2021-12-30
96,UW21,man05,98,30.95,26.09,2021-11-03,2021-12-20
97,KU06,man09,25,62.67,24.94,2021-12-14,2021-12-27
98,TE19,man23,10,62.69,23.13,2021-10-27,2021-12-26
99,QY79,man93,75,20.56,24.14,2021-10-25,2022-01-06
100,SE89,man53,99,92.96,14.24,2021-11-26,2021-12-30
101,SF35,man95,30,63.16,26.11,2021-12-05,2022-01-09
102,VP54,man13,41,53.11,10.55,2021-11-27,2022-01-05
103,CI63,man43,100,50.78,19.25,2021-11-02,2021-12-27
104,PD04,man43,70,40.85,17.74,2021-10-19,2021-12-31
105,VL94,man83,19,29.97,18.53,2021-11-29,2022-01-02
106,MI01,man80,67,77.39,29.01,2021-10-21,2022-01-05
107,YI87,man74,16,95.8,12.54,2021-10-28,2021-12-25
108,FU26,man99,87,37.87,22.29,2021-10-28,2021-12-18
109,FF17,man49,44,53.93,11.85,2021-12-05,2022-01-02
110,YM92,man39,42,27.76,15.73,2021-11-16,2021-12-27
111,FZ56,man94,24,89.75,26.25,2021-11-26,2022-01-11
112,VP42,man64,55,33.22,21.88,2021-12-05,2021-12-25
113,TV20,man32,2,40.7,26.22,2021-10-30,2022-01-02
114,QG36,man49,26,40.85,14.24,2021-10-21,2021-12-26
115,HB45,man56,34,28.94,15.06,2021-10-17,2021-12-31
116,TG86,man45,22,32.97,29.86,2021-11-07,2022-01-06
117,LA22,man10,77,20.6,22.77,2021-12-03,2022-01-07
118,RN08,man79,99,98.23,10.36,2021-11-05,2021-12-21
119,HK83,man87,38,45.61,18.11,2021-11-17,2021-12-21
120,JH93,man06,44,83.76,17.42,2021-11-29,2021-12-31
121,JP38,man95,57,67.87,15.7,2021-11-10,2021-12-30
122,WT82,man45,34,40.11,20.64,2021-11-22,2022-01-06
123,JG86,man09,53,88.23,11.99,2021-10-26,2021-12-20
124,MO09,man97,71,90.69,17.51,2021-11-15,2022-01-07
125,HX87,man29,95,20.59,25.94,2021-12-09,2021-12-29
126,CL19,man51,58,91.04,29.9,2021-11-09,2021-12-23
127,KD04,man39,81,79.34,15.19,2021-10-17,2021-12-17
128,FA96,man85,45,61.37,18.39,2021-10-25,2022-01-01
129,FK74,man12,97,93.05,24.98,2021-10-25,2021-12-14
130,BN67,man22,89,56.24,18.46,2021-11-12,2021-12-18
131,AM36,man80,85,94.49,17.41,2021-12-07,2021-12-20
132,IB73,man71,13,31.06,10.92,2021-12-03,2022-01-03
133,NC46,man45,72,98.68,27.08,2021-11-24,2022-01-02
134,KC08,man29,95,47.4,18.12,2021-11-30,2021-12-24
135,UY54,man28,88,24.25,24.92,2021-10-28,2021-12-17
136,WJ63,man59,62,50.53,25.09,2021-10-25,2021-12-16
137,PD46,man66,2,75.92,15.53,2021-10-26,2022-01-13
138,KG83,man74,75,92.96,19.61,2021-11-24,2021-12-27
139,YZ65,man69,95,45.31,18.17,2021-10-24,2021-12-31
140,EL42,man92,62,84.44,12.14,2021-11-25,2021-12-17
141,KP77,man33,50,68.5,12.02,2021-11-04,2022-01-02
142,SU77,man21,75,39.77,25.79,2021-10-27,2021-12-16
143,XD71,man21,60,95.23,14.58,2021-11-14,2022-01-08
144,HK94,man62,58,47.01,13.53,2021-12-12,2022-01-03
145,YB55,man86,86,70.97,24.35,2021-11-03,2021-12-21
146,BY99,man16,39,81.76,27.84,2021-11-23,2022-01-03
147,WC55,man40,48,84.29,18.7,2021-11-11,2021-12-15
148,NY08,man15,81,31.37,20.38,2021-10-29,2022-01-05
149,AL65,man12,73,70.69,18.94,2021-10-25,2022-01-01
150,VS25,man60,57,39.73,19.06,2021-12-05,2022-01-05
151,MZ80,man63,5,63.49,14.91,2021-11-08,2021-12-14
152,CK16,man57,31,43.63,26.48,2021-10-26,2021-12-26
153,ET20,man50,32,48.19,20.4,2021-12-03,2021-12-26
154,OE70,man91,70,73.83,25.58,2021-12-11,2022-01-06
155,EG07,man79,91,52.0,27.86,2021-11-03,2022-01-07
156,QS01,man00,80,90.25,16.27,2021-11-17,2021-12-27
157,DC26,man07,76,53.69,14.84,2021-11-23,2022-01-12
158,WL77,man46,36,90.49,13.49,2021-11-28,2021-12-28
159,SB50,man71,25,28.58,12.52,2021-10-30,2021-12-16
160,YY49,man64,100,91.89,29.13,2021-12-09,2022-01-12
161,AI60,man79,37,62.09,21.5,2021-11-29,2022-01-05
162,LH96,man28,66,71.09,16.83,2021-11-28,2022-01-07
163,CG40,man92,16,85.12,15.79,2021-11-19,2021-12-22
164,LQ49,man19,52,75.64,29.79,2021-11-09,2022-01-04
165,QV68,man12,69,78.97,14.04,2021-11-07,2021-12-20
166,MG97,man86,91,47.69,25.19,2021-11-18,2022-01-08
167,RV06,man36,66,58.72,20.55,2021-10-22,2021-12-17
168,UA33,man66,3,95.72,25.11,2021-12-01,2021-12-20
169,RU73,man40,92,80.45,14.88,2021-12-06,2021-12-20
170,IR61,man02,38,37.2,24.34,2021-11-08,2021-12-26
171,TY05,man11,52,71.49,26.9,2021-11-16,2021-12-24
172,VQ81,man16,52,47.83,12.38,2021-11-15,2021-12-16
173,EY92,man54,59,24.07,11.43,2021-11-14,2022-01-04
174,PK66,man33,21,56.4,14.21,2021-10-28,2022-01-03
175,LG80,man49,12,66.91,15.9,2021-12-11,2021-12-23
176,VZ24,man30,52,79.27,12.27,2021-11-13,2021-12-18
177,RL66,man74,70,36.02,16.96,2021-11-17,2022-01-09
178,FI15,man60,1,81.42,13.27,2021-11-09,2021-12-25
179,DB51,man44,2,46.01,29.58,2021-12-04,2022-01-11
180,FO81,man56,56,91.59,28.4,2021-11-19,2021-12-18
181,RU40,man87,8,92.67,26.95,2021-11-09,2021-12-29
182,QR52,man65,61,91.02,23.4,2021-11-28,2021-12-31
183,FY31,man72,37,42.72,14.05,2021-11-14,2021-12-31
184,XZ34,man27,15,74.02,26.66,2021-11-08,2021-12-27
185,SF33,man86,94,57.06,19.93,2021-11-25,2022-01-07
186,KN97,man29,55,94.61,27.0,2021-10-22,2021-12-23
187,KR62,man13,24,46.37,14.87,2021-11-18,2021-12-14
188,FY87,man61,91,42.53,27.94,2021-11-22,2022-01-11
189,VM12,man00,30,67.42,21.42,2021-12-09,2022-01-10
190,VA83,man87,58,46.88,12.31,2021-11-19,2022-01-04
191,JU09,man46,18,75.03,10.3,2021-12-06,2022-01-09
192,DC11,man18,23,79.4,18.09,2021-10-26,2022-01-09
193,ER76,man87,42,24.96,12.22,2021-12-02,2021-12-27
194,PU35,man18,100,38.59,28.43,2021-11-26,2021-12-31
195,YS38,man45,55,63.29,10.64,2021-10-20,2021-12-20
196,JM44,man36,1,56.92,14.6,2021-12-09,2021-12-15
197,VQ75,man37,64,88.37,19.11,2021-11-30,2021-12-18
198,KV81,man95,72,91.24,23.92,2021-12-07,2022-01-09
199,VH76,man70,63,62.88,29.96,2021-11-20,2021-12-28
200,JV13,man17,10,27.22,11.3,2021-12-05,2022-01-05
201,CA08,man15,27,95.28,16.53,2021-10-26,2021-12-21
202,FW88,man15,49,47.91,13.81,2021-11-16,2021-12-20
203,EE70,man41,62,35.44,13.12,2021-12-13,2021-12-14
204,PW40,man67,59,79.53,28.43,2021-11-30,2022-01-08
205,GC67,man54,29,29.82,14.35,2021-11-16,2022-01-01
206,BT24,man62,5,31.41,24.44,2021-11-29,2021-12-17
207,XF97,man06,85,51.56,23.35,2021-11-30,2022-01-09
208,KO40,man42,80,71.97,25.37,2021-10-15,2021-12-28
209,YB20,man34,20,95.65,12.22,2021-12-04,2022-01-08
210,DX66,man60,32,53.15,24.79,2021-10-26,2021-12-21
211,MW78,man56,71,64.27,11.0,2021-10-15,2022-01-01
212,AU61,man80,9,49.36,16.14,2021-10-21,2021-12-23
213,JF49,man88,18,31.82,11.83,2021-10-28,2021-12-14
214,TL87,man48,64,30.15,27.21,2021-11-10,2021-12-29
215,PE83,man05,56,92.81,26.33,2021-12-11,2022-01-04
216,KH02,man87,36,63.46,10.21,2021-10-17,2022-01-12
217,WC77,man99,55,76.16,24.97,2021-12-05,2022-01-01
218,KK52,man47,82,96.31,10.56,2021-11-16,2022-01-03
219,YX94,man66,30,21.27,17.93,2021-12-12,2022-01-10
220,VM90,man66,66,48.05,16.75,2021-10-16,2021-12-31
221,RP64,man38,76,96.45,16.46,2021-12-13,2021-12-27
222,AY88,man79,22,91.86,15.28,2021-10-16,2022-01-10
223,NA03,man29,82,32.5,18.56,2021-10-22,2021-12-24
224,FA59,man32,65,73.13,28.53,2021-11-07,2021-12-28
225,ZO64,man92,7,49.75,17.24,2021-10-23,2021-12-29
226,ZB04,man81,21,66.65,15.03,2021-10-31,2022-01-07
227,XS68,man28,86,75.93,14.07,2021-11-17,2021-12-28
228,IA20,man64,12,89.82,22.13,2021-12-11,2022-01-13
229,UZ42,man06,97,66.11,28.31,2021-11-22,2021-12-25
230,LE05,man92,62,72.15,25.56,2021-10-18,2022-01-03
231,GT79,man46,4,41.11,16.2,2021-10-28,2022-01-13
232,WN72,man17,41,57.38,25.4,2021-11-14,2021-12-27
233,VR00,man34,83,39.47,12.05,2021-12-02,2022-01-05
234,FJ22,man61,55,22.15,22.1,2021-11-23,2021-12-14
235,UK77,man47,88,78.11,15.17,2021-10-17,2021-12-16
236,IK97,man70,31,40.17,18.76,2021-11-22,2021-12-26
237,HJ29,man41,77,49.72,20.93,2021-10-27,2022-01-05
238,FO69,man95,82,27.25,13.88,2021-11-17,2022-01-05
239,YD74,man55,23,68.48,29.39,2021-12-05,2021-12-16
240,JS83,man38,22,21.11,23.91,2021-11-29,2021-12-28
241,KY75,man11,76,55.37,29.05,2021-11-27,2022-01-01
242,FY82,man61,26,25.31,16.84,2021-10-22,2022-01-03
243,UH73,man20,82,39.69,28.48,2021-11-21,2021-12-26
244,QM50,man42,74,76.45,14.85,2021-10-29,2021-12-22
245,YX55,man01,60,94.32,23.82,2021-10-19,2021-12-31
246,KX22,man22,7,71.82,21.43,2021-12-09,2022-01-10
247,AU08,man52,51,44.81,20.91,2021-12-08,2021-12-27
248,VW38,man38,100,92.46,13.83,2021-12-04,2021-12-30
249,EX63,man94,5,32.45,17.52,2021-11-27,2022-01-01
250,VD40,man69,16,88.01,19.47,2021-11-27,2022-01-04
251,IP00,man98,56,73.29,23.37,2021-12-11,2022-01-01
252,JQ68,man58,80,37.41,19.04,2021-11-30,2021-12-20
253,GQ96,man34,15,52.81,22.18,2021-11-03,2021-12-27
254,BA05,man45,86,99.26,16.63,2021-12-07,2021-12-23
255,ZC48,man71,18,21.24,27.86,2021-10-16,2021-12-24
256,QA89,man44,22,71.63,24.49,2021-10-25,2022-01-05
257,CO16,man38,54,81.65,18.66,2021-11-10,2022-01-09
258,LH17,man94,38,94.27,23.64,2021-12-09,2022-01-09
259,XY51,man67,68,24.16,22.47,2021-10-28,2022-01-05
260,NH43,man41,32,45.29,20.76,2021-12-08,2022-01-11
261,IM88,man54,23,89.37,26.55,2021-11-05,2022-01-05
262,NX24,man17,97,76.53,15.17,2021-10-22,2022-01-11
263,AB50,man19,29,50.57,24.59,2021-11-11,2021-12-24
264,FJ46,man14,15,81.88,26.5,2021-11-13,2022-01-09
265,KK97,man42,16,97.83,14.96,2021-10-24,2021-12-17
266,JI89,man90,57,63.14,25.56,2021-11-25,2022-01-06
267,ZA16,man99,27,61.75,19.74,2021-12-08,2022-01-01
268,DS73,man22,31,21.34,24.81,2021-12-03,2021-12-16
269,UT81,man56,29,27.37,12.19,2021-11-06,2022-01-04
270,CZ40,man96,8,81.12,25.32,2021-12-04,2021-12-28
271,UU91,man08,65,79.76,16.58,2021-11-19,2022-01-13
272,EV62,man06,55,76.48,13.52,2021-11-15,2022-01-01
273,KK80,man52,27,77.75,13.58,2021-11-17,2021-12-28
274,GI67,man88,36,64.5,12.29,2021-11-20,2021-12-17
275,HS35,man06,45,72.41,22.38,2021-11-04,2021-12-26
276,NY32,man43,50,39.87,19.12,2021-12-04,2022-01-01
277,QS56,man77,73,67.74,25.31,2021-11-01,2021-12-26
278,WV15,man37,38,37.74,27.32,2021-11-21,2021-12-17
279,KY43,man00,56,22.37,20.4,2021-10-22,2022-01-13
280,MJ67,man54,81,67.26,10.23,2021-12-06,2021-12-30
281,JB39,man44,75,83.0,16.53,2021-12-08,2021-12-17
282,UO97,man95,31,83.95,18.43,2021-10-30,2022-01-10
283,RI89,man67,23,73.89,13.69,2021-12-06,2021-12-17
284,OH95,man76,27,94.69,14.65,2021-12-13,2021-12-15
285,HY25,man80,72,49.23,29.72,2021-12-14,2021-12-20
286,BS05,man50,35,76.53,26.85,2021-12-09,2021-12-25
287,CL76,man62,68,69.22,18.82,2021-10-20,2021-12-24
288,GG06,man40,21,59.84,25.84,2021-10-30,2021-12-26
289,WE03,man97,22,50.3,14.34,2021-10-16,2021-12-15
290,XO60,man57,52,59.95,10.85,2021-11-24,2022-01-02
291,PS24,man61,7,23.72,21.61,2021-11-30,2021-12-31
292,XR96,man93,35,98.08,22.41,2021-12-14,2021-12-28
293,HS96,man79,83,59.65,27.11,2021-11-05,2022-01-08
294,VV37,man47,22,45.07,10.1,2021-11-19,2021-12-28
295,WQ19,man71,75,23.64,16.11,2021-11-23,2021-12-25
296,KP70,man53,66,97.48,20.09,2021-12-05,2021-12-29
297,WB38,man91,97,50.21,15.52,2021-12-11,2021-12-27
298,UP24,man44,5,77.05,16.81,2021-12-03,2021-12-24
299,NK01,man39,18,75.1,29.63,2021-10-23,2021-12-18
300,TG19,man58,65,39.74,22.28,2021-10-19,2021-12-28
301,CG75,man93,65,62.28,14.11,2021-10-19,2022-01-01
302,EC40,man32,74,23.65,15.97,2021-10-17,2021-12-21
303,HX86,man47,31,58.3,14.13,2021-12-04,2022-01-13
304,CW37,man28,81,55.21,29.27,2021-10-15,2021-12-22
305,UC22,man38,30,99.72,11.45,2021-11-15,2021-12-20
306,UC50,man28,80,62.33,28.94,2021-12-02,2022-01-01
307,PJ67,man01,64,82.67,26.48,2021-11-21,2021-12-31
308,CY02,man62,2,22.25,18.77,2021-11-11,2021-12-27
309,CB31,man25,67,78.18,23.76,2021-11-26,2021-12-28
310,EE28,man52,72,37.16,22.27,2021-12-06,2021-12-14
311,GU10,man14,15,66.71,19.85,2021-12-12,2022-01-04
312,UH33,man91,43,30.5,25.52,2021-12-08,2021-12-21
313,EK22,man27,99,55.63,24.79,2021-10-16,2022-01-08
314,RS86,man85,2,49.28,17.88,2021-12-11,2021-12-27
315,GP49,man23,84,23.95,24.47,2021-11-14,2022-01-04
316,BB57,man89,56,66.62,10.36,2021-11-09,2022-01-07
317,VI60,man43,32,53.53,28.65,2021-11-16,2021-12-26
318,CF70,man63,77,60.79,11.37,2021-11-01,2021-12-27
319,WH11,man06,55,92.35,17.31,2021-10-15,2021-12-18
320,PD60,man94,88,46.8,17.58,2021-12-06,2021-12-31
321,GU23,man81,32,58.95,28.84,2021-10-23,2021-12-19
322,FQ19,man82,23,32.26,26.2,2021-11-02,2022-01-12
323,IC54,man63,61,69.82,24.58,2021-12-05,2022-01-12
324,EO12,man13,55,45.82,14.06,2021-11-06,2021-12-15
325,ZD66,man82,86,86.32,23.6,2021-12-05,2021-12-16
326,II50,man59,73,57.19,12.5,2021-11-17,2022-01-10
327,AB28,man93,83,74.74,24.48,2021-11-17,2022-01-04
328,GN81,man66,23,43.48,13.63,2021-10-30,2022-01-09
329,ZS92,man92,54,58.12,10.66,2021-10-24,2022-01-08
330,QG65,man77,100,33.78,25.08,2021-11-05,2021-12-14
331,KZ16,man49,11,59.2,27.52,2021-11-10,2021-12-19
332,DD43,man35,42,77.11,20.95,2021-11-08,2022-01-08
333,NH50,man73,52,92.59,12.8,2021-11-30,2021-12-23
334,MO69,man77,77,61.59,14.35,2021-11-03,2021-12-18
335,SJ43,man75,93,33.32,15.93,2021-11-03,2022-01-04
336,GC02,man26,48,75.76,14.54,2021-11-01,2021-12-26
337,FI30,man45,61,41.49,21.18,2021-11-14,2022-01-01
338,OV12,man79,96,44.22,13.05,2021-10-31,2021-12-30
339,BB94,man02,100,39.0,13.71,2021-11-15,2021-12-27
340,XW28,man48,30,79.7,14.37,2021-12-07,2022-01-01
341,CW20,man65,45,24.47,25.19,2021-11-22,2021-12-27
342,MU87,man49,32,97.68,13.48,2021-10-15,2021-12-28
343,FC92,man12,39,86.09,10.64,2021-11-12,2022-01-13
344,TG12,man25,13,65.83,14.5,2021-11-29,2021-12-17
345,SJ75,man19,13,29.42,20.83,2021-12-04,2021-12-23
346,HP05,man89,65,65.17,20.63,2021-10-31,2022-01-11
347,IS77,man62,15,67.15,21.47,2021-11-06,2021-12-28
348,JC65,man82,88,45.33,21.68,2021-10-18,2021-12-21
349,NP91,man17,27,77.06,11.08,2021-12-08,2022-01-01
350,AE37,man21,4,70.43,10.92,2021-10-17,2022-01-10
351,LH04,man17,22,81.68,27.83,2021-11-22,2021-12-14
352,RN52,man19,58,85.78,16.51,2021-10-22,2022-01-03
353,IV60,man79,67,62.2,23.74,2021-11-04,2021-12-17
354,PS33,man67,72,49.16,18.71,2021-10-22,2022-01-02
355,RH92,man10,16,28.48,16.1,2021-11-25,2021-12-26
356,GE59,man92,81,64.94,11.41,2021-11-10,2021-12-30
357,NW68,man70,15,35.29,28.04,2021-12-05,2021-12-27
358,HS55,man60,83,45.78,29.99,2021-11-30,2022-01-12
359,WQ46,man78,38,92.86,11.29,2021-11-13,2022-01-05
360,RC08,man75,57,29.57,20.99,2021-12-01,2021-12-22
361,CV94,man96,92,46.84,27.23,2021-12-07,2021-12-20
362,SI56,man56,77,60.96,16.21,2021-11-26,2022-01-07
363,GW62,man89,1,32.21,27.87,2021-10-28,2021-12-25
364,MW68,man13,12,53.42,25.03,2021-12-04,2022-01-07
365,UE52,man81,85,29.63,26.05,2021-12-04,2022-01-12
366,OO61,man92,93,56.29,20.83,2021-12-07,2021-12-28
367,GD53,man81,51,52.23,17.88,2021-11-10,2022-01-08
368,RM77,man83,98,54.7,19.28,2021-11-29,2021-12-16
369,HO94,man13,65,98.39,24.0,2021-12-13,2021-12-18
370,HQ86,man26,99,99.5,11.0,2021-11-09,2022-01-11
371,BB01,man90,88,35.8,17.18,2021-12-06,2021-12-28
372,HY59,man32,98,66.88,26.28,2021-11-07,2021-12-31
373,IW95,man52,46,60.75,21.87,2021-11-04,2021-12-30
374,IP30,man21,85,43.27,18.49,2021-12-12,2021-12-26
375,KG94,man29,51,44.13,10.63,2021-10-17,2021-12-19
376,FS04,man38,8,50.52,24.99,2021-12-04,2021-12-25
377,ZL73,man90,98,86.54,11.06,2021-11-01,2022-01-12
378,MU01,man36,54,76.04,14.31,2021-11-13,2021-12-20
379,MR02,man79,27,79.26,27.76,2021-11-27,2022-01-11
380,BS36,man61,87,86.7,22.29,2021-10-29,2021-12-31
381,PE83,man85,69,21.56,22.99,2021-11-03,2021-12-24
382,EB58,man74,35,73.73,22.07,2021-11-15,2021-12-18
383,AM91,man80,47,49.05,10.01,2021-11-02,2021-12-14
384,PN52,man91,67,98.1,11.83,2021-11-11,2022-01-04
385,NZ23,man46,35,78.73,28.47,2021-11-09,2021-12-14
386,QL36,man53,7,37.21,24.01,2021-11-07,2021-12-14
387,ZU50,man14,80,42.63,13.06,2021-10-17,2022-01-05
388,SX20,man92,82,25.78,28.13,2021-10-27,2021-12-24
389,NN75,man17,6,69.33,29.49,2021-11-13,2021-12-30
390,PT77,man06,45,34.42,25.94,2021-11-03,2021-12-16
391,SM82,man66,65,34.65,28.83,2021-10-15,2021-12-20
392,HE32,man53,68,98.5,21.51,2021-12-01,2022-01-01
393,PN09,man04,35,34.21,25.83,2021-11-17,2022-01-06
394,OK22,man56,22,63.94,29.09,2021-12-08,2022-01-10
395,VB57,man58,49,56.1,28.9,2021-10-15,2021-12-17
396,IN15,man24,52,62.42,28.11,2021-11-30,2022-01-02
397,XB81,man83,98,35.96,18.42,2021-10-23,2021-12-18
398,YN31,man62,75,44.52,29.97,2021-11-25,2021-12-14
399,ZP01,man40,66,61.47,16.86,2021-11-15,2021-12-28
400,NW37,man73,7,99.66,17.18,2021-11-04,2022-01-10
401,CI17,man57,31,32.27,27.84,2021-10-17,2021-12-18
402,RW92,man43,1,43.16,14.55,2021-11-08,2022-01-13
403,BJ71,man50,23,30.87,28.18,2021-11-29,2021-12-25
404,OX99,man49,100,28.68,26.57,2021-11-26,2021-12-24
405,XJ11,man19,76,23.53,19.99,2021-10-30,2021-12-29
406,CV43,man29,2,90.77,18.65,2021-11-05,2022-01-06
407,QV17,man27,66,89.3,18.38,2021-12-12,2021-12-19
408,EQ62,man41,80,81.63,18.69,2021-10-26,2021-12-18
409,ZF11,man01,51,46.01,18.19,2021-11-14,2021-12-22
410,ZQ51,man95,32,53.47,26.05,2021-11-03,2021-12-17
411,IC13,man76,60,87.29,17.32,2021-12-14,2021-12-14
412,KM82,man96,68,74.79,19.93,2021-11-27,2021-12-29
413,YV12,man41,95,24.2,15.75,2021-10-28,2021-12-28
414,AA11,man72,7,71.2,21.92,2021-11-22,2021-12-24
415,IM86,man95,57,54.49,16.96,2021-11-10,2021-12-19
416,WE23,man80,59,76.94,19.8,2021-10-25,2022-01-01
417,PK38,man18,40,59.41,17.44,2021-10-17,2021-12-17
418,EW32,man52,83,98.85,11.79,2021-11-25,2021-12-28
419,DI94,man40,89,27.35,24.21,2021-10-26,2021-12-21
420,SO75,man46,49,51.25,25.43,2021-11-14,2021-12-15
